Brand,Model,Transmission,Fuel type,Year of Manufacture,Median_Price
Nissan,Leaf,Automatic,Electric,2012,6199408.08
Nissan,Leaf,Automatic,Electric,2013,5390000.0
Nissan,Leaf,Automatic,Electric,2014,5489348.91
Nissan,Leaf,Automatic,Electric,2015,4845000.0
Nissan,Leaf,Automatic,Electric,2016,4846029.5
Nissan,Leaf,Automatic,Electric,2017,12499727.56
Nissan,Leaf,Automatic,Electric,2018,12499727.56
Nissan,Leaf,Automatic,Electric,2019,12499727.56
Nissan,Leaf,Automatic,Electric,2020,12499727.56
Nissan,Leaf,Automatic,Electric,2021,15799523.93
Nissan,Leaf,Automatic,Electric,2022,15799523.93
Nissan,Leaf,Automatic,Electric,2023,15799523.93
Nissan,March,Automatic,Petrol,2000,2900000.0
Nissan,March,Automatic,Petrol,2001,2962500.0
Nissan,March,Automatic,Petrol,2002,3550000.0
Nissan,March,Automatic,Petrol,2003,3550011.85
Nissan,March,Automatic,Petrol,2004,3550011.85
Nissan,March,Automatic,Petrol,2005,4589984.23
Nissan,March,Automatic,Petrol,2006,4589984.23
Nissan,March,Automatic,Petrol,2007,4589984.23
Nissan,March,Automatic,Petrol,2008,4624983.3
Nissan,March,Automatic,Petrol,2009,5349964.04
Nissan,Navara,Manual,Diesel,2006,6499995.99
Nissan,Navara,Manual,Diesel,2007,6699990.68
Nissan,Navara,Manual,Diesel,2008,5847500.0
Nissan,Other Model,Automatic,Petrol,2000,2850000.0
Nissan,Other Model,Automatic,Petrol,2001,2850042.28
Nissan,Other Model,Automatic,Petrol,2002,2850042.28
Nissan,Other Model,Automatic,Petrol,2003,4674993.8
Nissan,Other Model,Automatic,Petrol,2004,4674993.8
Nissan,Other Model,Automatic,Petrol,2005,4674993.8
Nissan,Other Model,Automatic,Petrol,2006,4674993.8
Nissan,Other Model,Automatic,Petrol,2007,4674993.8
Nissan,Other Model,Automatic,Petrol,2008,4674993.8
Nissan,Other Model,Automatic,Petrol,2009,5799963.92
Nissan,Other Model,Automatic,Petrol,2010,5799963.92
Nissan,Other Model,Automatic,Petrol,2011,5799963.92
