Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-zx-2012-for-sale-ratnapura-1,Toyota Land Cruiser Sahara ZX 2012,"Posted on 07 May 10:43 pm, Embilipitiya, Ratnapura7166views",Toyota,Land Cruiser Sahara,0,ZX,2012,Used,Automatic,SUV / 4x4,Petrol,"4,600 cc","145,000 km","Rs 46,000,000"
https://ikman.lk/en/ad/toyota-vitz-ksp130-2016-for-sale-kurunegala,Toyota Vitz KSP130 2016,"Posted on 07 May 9:37 pm, Kurunegala City, Kurunegala268views",Toyota,Vitz,0,KSP130,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","164,000 km","Rs 7,975,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-txl-limited-2023-for-sale-gampaha-1,Toyota Land Cruiser Prado TXL Limited 2023,"Posted on 07 May 8:05 pm, Ja-Ela, Gampaha3876views",Toyota,Land Cruiser Prado,0,TXL Limited 2023,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,700 cc","14,000 km","Rs 56,850,000"
https://ikman.lk/en/ad/toyota-corolla-wxb-non-hybrid-2023-for-sale-gampaha,Toyota Corolla WXB- Non Hybrid 2023,"Posted on 07 May 7:42 pm, Negombo, Gampaha1890views",Toyota,Corolla,0,WXB- Non Hybrid,2023,Reconditioned,Automatic,Saloon,Petrol,"1,500 cc","9,800 km","Rs 20,000,000"
https://ikman.lk/en/ad/toyota-chr-2018-for-sale-gampaha-261,Toyota CHR 2018,"Posted on 08 May 6:23 am, Kadawatha, Gampaha255views",Toyota,CHR,0,Toyota,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","43,000 km","Rs 14,950,000"
https://ikman.lk/en/ad/toyota-chr-2018-for-sale-kurunegala-6,Toyota CHR 2018,"Posted on 07 May 6:58 pm, Kurunegala City, Kurunegala6392views",Toyota,CHR,0,2018,2018,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","36,000 km","Rs 15,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-vja-300zx-2023-for-sale-matara,Toyota Land Cruiser Sahara VJA 300ZX 2023,"Posted on 07 May 6:36 pm, Matara City, Matara442views",Toyota,Land Cruiser Sahara,0,VJA 300ZX,2023,Used,Automatic,SUV / 4x4,Petrol,"3,500 cc","25,000 km","Rs 87,000,000"
https://ikman.lk/en/ad/toyota-raize-z-premium-twotone-2024-for-sale-colombo,Toyota Raize Z Premium Twotone 2024,"Posted on 07 May 6:17 pm, Dehiwala, Colombo1162views",Toyota,Raize,0,Z Premium Twotone,2024,New,Automatic,SUV / 4x4,Petrol,"1,200 cc",50 km,"Rs 16,750,000"
https://ikman.lk/en/ad/toyota-starlet-ep91-1997-for-sale-colombo-129,Toyota Starlet EP91 1997,"Posted on 07 May 6:07 pm, Battaramulla, Colombo554views",Toyota,Starlet,0,EP91,1997,Used,Automatic,Hatchback,Petrol,"1,330 cc","165,400 km","Rs 3,650,000"
https://ikman.lk/en/ad/toyota-chr-gtline-nuero-2023-for-sale-colombo,Toyota CHR GTLINE NUERO 2023,"Posted on 07 May 5:51 pm, Dehiwala, Colombo949views",Toyota,CHR,0,GTLINE NUERO ,2023,Used,Automatic,SUV / 4x4,Petrol,"1,290 cc","6,000 km","Rs 19,890,000"
https://ikman.lk/en/ad/toyota-land-cruiser-lc-300-2023-for-sale-colombo-2,Toyota Land Cruiser LC 300 2023,"Posted on 07 May 5:29 pm, Kohuwala, Colombo4558views",Toyota,Other Model,0,Land Cruiser LC 300,2023,New,Automatic,SUV / 4x4,Petrol,"3,500 cc",0 km,"Rs 104,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-lc300-2024-for-sale-colombo-3,Toyota Land Cruiser LC300 2024,"Posted on 07 May 5:29 pm, Kohuwala, Colombo1386views",Toyota,Other Model,0,Land Cruiser LC300 ,2024,New,Automatic,SUV / 4x4,Petrol,"3,500 cc",0 km,"Rs 105,500,000"
https://ikman.lk/en/ad/toyota-raize-2021-for-sale-colombo,Toyota Raize 2021,"Posted on 07 May 5:23 pm, Piliyandala, Colombo550views",Toyota,Raize,0,0,2021,Used,Automatic,SUV / 4x4,Petrol,990 cc,"7,000 km","Rs 13,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-prado-trj-150-tx-l-2023-for-sale-colombo-2,Toyota Land Cruiser Prado TRJ 150 TX-L 2023,"Posted on 07 May 4:56 pm, Moratuwa, Colombo3739views",Toyota,Land Cruiser Prado,0,TRJ 150 TX-L ,2023,Reconditioned,Automatic,SUV / 4x4,Petrol,"2,700 cc","4,000 km","Rs 59,500,000"
https://ikman.lk/en/ad/toyota-land-cruiser-sahara-lc300-2024-for-sale-gampaha,Toyota Land Cruiser Sahara Lc300 2024,"Posted on 07 May 4:51 pm, Ja-Ela, Gampaha5742views",Toyota,Land Cruiser Sahara,0,Lc300,2024,New,Automatic,SUV / 4x4,Petrol,"3,500 cc",0 km,"Rs 100,000,000"
https://ikman.lk/en/ad/toyota-vitz-2015-for-sale-gampaha-730,Toyota Vitz 2015,"Posted on 07 May 4:34 pm, Negombo, Gampaha4717views",Toyota,Vitz,0,Toyota,2015,Used,Automatic,Hatchback,Petrol,998 cc,"63,500 km","Rs 7,900,000"
https://ikman.lk/en/ad/toyota-passo-moda-2016-for-sale-colombo-98,Toyota Passo MODA 2016,"Posted on 07 May 4:00 pm, Colombo 8, Colombo286views",Toyota,Passo,0,MODA,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","95,000 km","Rs 7,650,000"
https://ikman.lk/en/ad/toyota-harrier-advance-premium-2017-for-sale-kalutara,Toyota Harrier ADVANCE PREMIUM 2017,"Posted on 07 May 3:36 pm, Alutgama, Kalutara371views",Toyota,Harrier,0,ADVANCE PREMIUM ,2017,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","93,000 km","Rs 26,575,000"
https://ikman.lk/en/ad/toyota-chr-blue-2018-for-sale-mullativu,Toyota CHR Blue 2018,"Posted on 07 May 3:02 pm, Mullativu City, Mullativu242views",Toyota,CHR,0,Blue,2018,Used,Automatic,Hatchback,Petrol,"1,197 cc","15,000 km","Rs 16,800,000"
https://ikman.lk/en/ad/toyota-yaris-g-grade-2023-for-sale-colombo-26,Toyota Yaris G Grade 2023,"Posted on 07 May 2:45 pm, Kohuwala, Colombo567views",Toyota,Yaris,0,G Grade,2023,Reconditioned,Automatic,Hatchback,Petrol,"1,000 cc","10,000 km","Rs 12,375,000"
https://ikman.lk/en/ad/toyota-premio-g-superior-2019-for-sale-colombo-754,Toyota Premio G SUPERIOR 2019,"Posted on 07 May 2:38 pm, Nugegoda, Colombo1662views",Toyota,Premio,0,G SUPERIOR,2019,Used,Automatic,Saloon,Petrol,"1,500 cc","105,000 km","Rs 19,000,000"
https://ikman.lk/en/ad/toyota-yaris-ativ-sport-2025-for-sale-colombo-1,Toyota Yaris Ativ Sport 2025,"Posted on 08 May 3:00 am, Kohuwala, Colombo2265views",Toyota,Yaris,0,Ativ Sport,2025,New,Automatic,Saloon,Petrol,"1,200 cc",0 km,"Rs 15,200,000"
